ligand,Rec,SPE,Acc,Pre,F1,MCC,AUC,AUPR
CO3,0.08080808080808081,0.999883517763541,0.9894058037770612,0.8888888888888888,0.14814814814814817,0.26623188671569714,0.848082455304354,0.2554605901346161
SO4,0.2488479262672811,0.996742671009772,0.9805796235434717,0.627906976744186,0.3564356435643564,0.38753945246562554,0.8888727315030245,0.40388152974216385
MG,0.22248995983935743,0.999092562126591,0.9924523118658036,0.678921568627451,0.3351482153660012,0.3859532763089203,0.9042243710316198,0.35172238438174275
CU,0.6929460580912863,0.9975532175189625,0.9931279763698837,0.8067632850241546,0.7455357142857143,0.7442784244102483,0.9880841185542257,0.7969410971844979
HEM,0.7474382157926461,0.9790665151647583,0.9634081740760361,0.7213496218731821,0.7341622261693309,0.7146507297697624,0.9741399503356556,0.7740990123557919
ATP,0.6644364384971694,0.9893256711362816,0.9807934040683922,0.6266990291262136,0.6450162378216339,0.6354413639346662,0.9725630398336718,0.6631199096907688
FE2,0.8130081300813008,0.9979306777030522,0.9956068655496526,0.8333333333333334,0.8230452674897119,0.8208855771809512,0.9983689366122838,0.9017987163228535
K,0.24489795918367346,0.9967096243487799,0.9818572772476818,0.6,0.34782608695652173,0.37594029746281715,0.9204695313826106,0.3578422938893247
NA,0.24623115577889448,0.9924507953626315,0.9729552317185244,0.4666666666666667,0.32236842105263164,0.32652549231464884,0.8023055422705331,0.3001374699674827
MN,0.6169665809768637,0.9977498741188319,0.9931447225244832,0.7704654895666132,0.6852248394004283,0.686106680417211,0.9612640042799596,0.7217942207706403
ADP,0.7698370993168681,0.9882719489335833,0.9831311294970256,0.6127143454621498,0.6823474615742897,0.6784339359908825,0.982973298790413,0.7219878661202997
ZN,0.799047619047619,0.9981947336997147,0.9952886348159232,0.8676318510858325,0.8319286068418443,0.8302669111401458,0.9897922264749557,0.8795853495101011
PO4,0.33402489626556015,0.9964179559484795,0.9844708875916779,0.6313725490196078,0.4369063772048847,0.45235509850322186,0.9445241719191401,0.46965315235639876
FE,0.7159420289855073,0.9981858961672934,0.9950102729674201,0.8178807947019867,0.7635239567233385,0.7627361502191468,0.9913643877315911,0.8229139936798028
test,0.581183932346723,0.9960479619550708,0.9891786068101701,0.7123145688929197,0.6401024536484559,0.6380539816781817,0.9613791623127189,0.6642187646199239
CA,0.48410104011887073,0.9979604198411872,0.989906047521229,0.7907766990291262,0.600552995391705,0.6142207173762874,0.9309202223863313,0.6049391268595712
AMP,0.47837150127226463,0.9858229999613706,0.9708694185131032,0.506056527590848,0.4918247220405494,0.4770418287121218,0.9423459720368157,0.4621215886839748
NO2,0.023255813953488372,0.9974842767295597,0.971830985915493,0.2,0.041666666666666664,0.06010785615923465,0.7452976451660085,0.1368130932826299
GTP,0.6255506607929515,0.9876576883736788,0.9767841788478074,0.610752688172043,0.618063112078346,0.6061393088307762,0.9621450274936129,0.6476566990839432
GDP,0.6794354838709677,0.9889822952490128,0.9795036424249908,0.6607843137254902,0.6699801192842942,0.6594736377897185,0.9765891749972267,0.7652841457322819
